farm_id,sensing_at,temp,humi,light,press,month,week
cab,2021-11-07,16.8,72.2,1,0,11,2
dab,2021-11-07,16.2,69.3,1,0,11,2
iab,2021-11-07,16.2,69.3,1,0,11,2
cab,2021-11-08,12.6,75.2,1,0.69,11,2
dab,2021-11-08,13,75,1,2.68,11,2
iab,2021-11-08,13,75,1,2.68,11,2
lab,2021-11-08,10.7,60.4,1,5.24,11,2
pab,2021-11-08,7.2,71.9,1,0.88,11,2
xab,2021-11-08,11.9,60.6,1,12.12,11,2
dbb,2021-11-08,10.7,60.4,1,5.24,11,2
cab,2021-11-09,10.8,61,1,1.05,11,2
dab,2021-11-09,10.6,58.5,1,7.23,11,2
eab,2021-11-09,7.5,70.9,1,0,11,2
gab,2021-11-09,9.3,63.6,1,2.66,11,2
iab,2021-11-09,10.6,58.5,1,7.23,11,2
lab,2021-11-09,11.1,54.7,1,7.1,11,2
mab,2021-11-09,8.6,67,1,0.12,11,2
pab,2021-11-09,10.1,62.7,1,7.29,11,2
sab,2021-11-09,7.5,70.9,1,0,11,2
wab,2021-11-09,9.3,63.6,1,2.66,11,2
xab,2021-11-09,13.1,46.2,1,10.33,11,2
cbb,2021-11-09,9.3,63.6,1,2.66,11,2
dbb,2021-11-09,11.1,54.7,1,7.1,11,2
cab,2021-11-10,10.2,74,1,0.48,11,2
dab,2021-11-10,9.8,71.9,1,4.58,11,2
eab,2021-11-10,8.8,71.6,1,1.29,11,2
gab,2021-11-10,9,73.3,1,2.8,11,2
hab,2021-11-10,10.6,60.3,1,1.63,11,2
iab,2021-11-10,9.8,71.9,1,4.58,11,2
kab,2021-11-10,10.6,64.9,1,4.85,11,2
lab,2021-11-10,11.3,59.7,1,6.01,11,2
mab,2021-11-10,9.8,69.8,1,2.79,11,2
pab,2021-11-10,10.1,67.3,1,4.83,11,2
qab,2021-11-10,10.7,62.6,1,2.11,11,2
rab,2021-11-10,8.8,77.1,1,0.12,11,2
sab,2021-11-10,8.8,71.6,1,1.29,11,2
tab,2021-11-10,10.6,64.9,1,4.85,11,2
uab,2021-11-10,11.9,52.5,1,7.5,11,2
wab,2021-11-10,9,73.3,1,2.8,11,2
xab,2021-11-10,11.1,60.7,1,0,11,2
cbb,2021-11-10,9,73.3,1,2.8,11,2
dbb,2021-11-10,11.3,59.7,1,6.01,11,2
cab,2021-11-11,11.8,71.2,1,0.75,11,2
dab,2021-11-11,12,65.4,1,9.42,11,2
eab,2021-11-11,11.7,61.8,1,2.8,11,2
gab,2021-11-11,11.3,67,1,6.14,11,2
hab,2021-11-11,12.5,57.2,1,4.94,11,2
iab,2021-11-11,12,65.4,1,9.42,11,2
kab,2021-11-11,11,69.8,1,4.88,11,2
lab,2021-11-11,13,54,1,7.89,11,2
mab,2021-11-11,12.2,61.9,1,5.92,11,2
pab,2021-11-11,12.4,58.7,1,7.5,11,2
qab,2021-11-11,11.3,63.3,1,2.4,11,2
rab,2021-11-11,11.4,66.8,1,3.67,11,2
sab,2021-11-11,11.7,61.8,1,2.8,11,2
tab,2021-11-11,11,69.8,1,4.88,11,2
uab,2021-11-11,13.7,50.9,1,10.13,11,2
wab,2021-11-11,11.3,67,1,6.14,11,2
xab,2021-11-11,13.8,53.7,1,10.39,11,2
cbb,2021-11-11,11.3,67,1,6.14,11,2
dbb,2021-11-11,13,54,1,7.89,11,2
cab,2021-11-12,11.3,65.3,1,1.73,11,2
dab,2021-11-12,11,62.4,1,10.02,11,2
eab,2021-11-12,10.2,61,1,2.94,11,2
gab,2021-11-12,10.5,61,1,5.51,11,2
hab,2021-11-12,11.1,60.4,1,4.61,11,2
iab,2021-11-12,11,62.4,1,10.02,11,2
kab,2021-11-12,10.1,67.3,1,4.9,11,2
lab,2021-11-12,11.3,54.5,1,6.66,11,2
mab,2021-11-12,11.3,56.6,1,5.5,11,2
pab,2021-11-12,10.5,62,1,6.04,11,2
qab,2021-11-12,8.9,72.4,1,1.76,11,2
rab,2021-11-12,10.2,62.4,1,2.18,11,2
sab,2021-11-12,10.2,61,1,2.94,11,2
tab,2021-11-12,10.1,67.3,1,4.9,11,2
uab,2021-11-12,10.4,65,1,3.75,11,2
wab,2021-11-12,10.5,61,1,5.51,11,2
xab,2021-11-12,10.5,64.8,1,6.02,11,2
cbb,2021-11-12,10.5,61,1,5.51,11,2
dbb,2021-11-12,11.3,54.5,1,6.66,11,2
cab,2021-11-13,11.7,62.6,1,0.17,11,2
dab,2021-11-13,12.5,57,1,12.08,11,2
eab,2021-11-13,11.5,53.6,1,2.95,11,2
gab,2021-11-13,11.4,55.2,1,6.12,11,2
hab,2021-11-13,12.3,52.7,1,5.39,11,2
iab,2021-11-13,12.5,57,1,12.08,11,2
kab,2021-11-13,11.3,57.5,1,5.64,11,2
lab,2021-11-13,12.2,55.3,1,8.34,11,2
mab,2021-11-13,12.2,51.1,1,5.88,11,2
pab,2021-11-13,11.4,62,1,7.33,11,2
qab,2021-11-13,10.9,60.8,1,2.38,11,2
rab,2021-11-13,11,56.5,1,2.46,11,2
sab,2021-11-13,11.5,53.6,1,2.95,11,2
tab,2021-11-13,11.3,57.5,1,5.64,11,2
uab,2021-11-13,14.4,46.9,1,13.41,11,2
wab,2021-11-13,11.4,55.2,1,6.12,11,2
xab,2021-11-13,12.4,55.6,1,7.94,11,2
cbb,2021-11-13,11.4,55.2,1,6.12,11,2
dbb,2021-11-13,12.2,55.3,1,8.34,11,2
cab,2021-11-14,12.5,65.1,1,0.04,11,3
dab,2021-11-14,13.5,58.3,1,12.44,11,3
eab,2021-11-14,13.2,53.7,1,2.73,11,3
gab,2021-11-14,12.5,55,1,6.9,11,3
hab,2021-11-14,12.8,51.1,1,5.74,11,3
iab,2021-11-14,13.5,58.3,1,12.44,11,3
kab,2021-11-14,11.7,54.6,1,5.26,11,3
lab,2021-11-14,14.1,51.1,1,7.75,11,3
mab,2021-11-14,14.3,48.4,1,6.58,11,3
pab,2021-11-14,12.9,56.6,1,6.04,11,3
qab,2021-11-14,11.1,59.6,1,2.67,11,3
rab,2021-11-14,12.4,55.6,1,2.4,11,3
sab,2021-11-14,13.2,53.7,1,2.73,11,3
tab,2021-11-14,11.7,54.6,1,5.26,11,3
uab,2021-11-14,12.3,55.2,1,9.36,11,3
wab,2021-11-14,12.5,55,1,6.9,11,3
xab,2021-11-14,12.1,55.8,1,7.35,11,3
cbb,2021-11-14,12.5,55,1,6.9,11,3
dbb,2021-11-14,14.1,51.1,1,7.75,11,3
cab,2021-11-15,12,63.9,1,0,11,3
dab,2021-11-15,11.9,63.2,1,11.54,11,3
eab,2021-11-15,13,55.7,1,3.44,11,3
gab,2021-11-15,12.1,56.6,1,6.9,11,3
hab,2021-11-15,12.6,54.1,1,5.19,11,3
iab,2021-11-15,11.9,63.2,1,11.54,11,3
kab,2021-11-15,11.7,56.7,1,5.22,11,3
lab,2021-11-15,11.9,59.6,1,7.16,11,3
mab,2021-11-15,13.2,53.4,1,7,11,3
pab,2021-11-15,11.5,60.3,1,5.12,11,3
qab,2021-11-15,11.1,62,1,2.5,11,3
rab,2021-11-15,11.8,58.7,1,2.98,11,3
sab,2021-11-15,13,55.7,1,3.44,11,3
tab,2021-11-15,11.7,56.7,1,5.22,11,3
uab,2021-11-15,12.1,55.7,1,10.96,11,3
wab,2021-11-15,12.1,56.6,1,6.9,11,3
xab,2021-11-15,12,56.5,1,6.25,11,3
cbb,2021-11-15,12.1,56.6,1,6.9,11,3
dbb,2021-11-15,11.9,59.6,1,7.16,11,3
cab,2021-11-16,11.1,65,1,1.22,11,3
dab,2021-11-16,11,66.4,1,9.94,11,3
eab,2021-11-16,10.9,63.4,1,1.93,11,3
gab,2021-11-16,12.3,50.6,1,3.8,11,3
hab,2021-11-16,12.5,54.1,1,4.1,11,3
iab,2021-11-16,11,66.4,1,9.94,11,3
kab,2021-11-16,12,59.9,1,4.79,11,3
lab,2021-11-16,12.8,55.8,1,6.12,11,3
mab,2021-11-16,12.7,57.7,1,3.46,11,3
pab,2021-11-16,11.7,61.1,1,2.38,11,3
qab,2021-11-16,12.1,59.2,1,1.73,11,3
rab,2021-11-16,11,63.1,1,1.4,11,3
sab,2021-11-16,10.9,63.4,1,1.93,11,3
tab,2021-11-16,12,59.9,1,4.79,11,3
uab,2021-11-16,10.9,61.6,1,2.28,11,3
wab,2021-11-16,12.3,50.6,1,3.8,11,3
xab,2021-11-16,12.7,55.5,1,3.42,11,3
cbb,2021-11-16,12.3,50.6,1,3.8,11,3
dbb,2021-11-16,12.8,55.8,1,6.12,11,3
aab,2021-11-17,15.2,45.9,1,9.11,11,3
bab,2021-11-17,16.1,39.9,1,17.9,11,3
cab,2021-11-17,10.2,64.7,1,0,11,3
dab,2021-11-17,11.1,63.4,1,11.73,11,3
eab,2021-11-17,13.1,51,1,3.44,11,3
gab,2021-11-17,12.7,41.5,1,6.94,11,3
hab,2021-11-17,13.2,46.9,1,5.57,11,3
iab,2021-11-17,11.1,63.4,1,11.73,11,3
kab,2021-11-17,13.1,55.8,1,5.49,11,3
lab,2021-11-17,13.3,48.8,1,7.33,11,3
mab,2021-11-17,13.6,46.2,1,6.58,11,3
pab,2021-11-17,13.2,48.4,1,3.75,11,3
qab,2021-11-17,13,46.7,1,2.67,11,3
rab,2021-11-17,12.4,52.3,1,2.88,11,3
sab,2021-11-17,13.1,51,1,3.44,11,3
tab,2021-11-17,13.1,55.8,1,5.49,11,3
uab,2021-11-17,11.6,51.7,1,7.5,11,3
wab,2021-11-17,12.7,41.5,1,6.94,11,3
xab,2021-11-17,12.7,48.1,1,6.42,11,3
cbb,2021-11-17,12.7,41.5,1,6.94,11,3
dbb,2021-11-17,13.3,48.8,1,7.33,11,3
aab,2021-11-18,13,50.7,1,7.12,11,3
bab,2021-11-18,11.7,49.9,1,9.19,11,3
cab,2021-11-18,10.6,62.5,1,0,11,3
dab,2021-11-18,11.7,61,1,11.96,11,3
eab,2021-11-18,13,48.3,1,3.02,11,3
gab,2021-11-18,12.7,42.7,1,7.22,11,3
hab,2021-11-18,13.5,48.5,1,5.71,11,3
iab,2021-11-18,11.7,61,1,11.96,11,3
kab,2021-11-18,11.6,54.1,1,5.51,11,3
lab,2021-11-18,12.8,54.9,1,6.76,11,3
mab,2021-11-18,13.8,43,1,6.96,11,3
pab,2021-11-18,13.3,52.4,1,3.79,11,3
qab,2021-11-18,12.1,54.8,1,2.75,11,3
rab,2021-11-18,12.7,48.1,1,2.92,11,3
sab,2021-11-18,13,48.3,1,3.02,11,3
tab,2021-11-18,11.6,54.1,1,5.51,11,3
uab,2021-11-18,10.6,55.8,1,5.7,11,3
wab,2021-11-18,12.7,42.7,1,7.22,11,3
xab,2021-11-18,13,50.5,1,7.17,11,3
cbb,2021-11-18,12.7,42.7,1,7.22,11,3
dbb,2021-11-18,12.8,54.9,1,6.76,11,3
aab,2021-11-19,12.3,52.9,1,7.4,11,3
bab,2021-11-19,9.4,53.2,1,7.33,11,3
cab,2021-11-19,9,66,1,0,11,3
dab,2021-11-19,10.9,59.8,1,12.59,11,3
eab,2021-11-19,12.5,46.9,1,3.2,11,3
gab,2021-11-19,12.7,41.8,1,8.02,11,3
hab,2021-11-19,13.3,46.4,1,5.92,11,3
iab,2021-11-19,10.9,59.8,1,12.59,11,3
kab,2021-11-19,11.7,53.4,1,5.71,11,3
lab,2021-11-19,13.6,45.1,1,8.89,11,3
mab,2021-11-19,13.5,40.2,1,7.38,11,3
pab,2021-11-19,12.5,46.9,1,4.88,11,3
qab,2021-11-19,12.1,50.6,1,3.94,11,3
rab,2021-11-19,12.2,46.7,1,3.21,11,3
sab,2021-11-19,12.5,46.9,1,3.2,11,3
tab,2021-11-19,11.7,53.4,1,5.71,11,3
uab,2021-11-19,10.1,54.9,1,4.41,11,3
wab,2021-11-19,12.7,41.8,1,8.02,11,3
xab,2021-11-19,12.8,49.9,1,7.83,11,3
cbb,2021-11-19,12.7,41.8,1,8.02,11,3
dbb,2021-11-19,13.6,45.1,1,8.89,11,3
aab,2021-11-20,14,56,1,6.97,11,3
bab,2021-11-20,11.2,58.3,1,8.65,11,3
cab,2021-11-20,10.6,71.3,1,0,11,3
dab,2021-11-20,12,68.6,1,11.79,11,3
eab,2021-11-20,13.7,49.6,1,3.17,11,3
gab,2021-11-20,13.7,45.6,1,6.53,11,3
hab,2021-11-20,13.6,54.1,1,5.49,11,3
iab,2021-11-20,12,68.6,1,11.79,11,3
kab,2021-11-20,13.8,63.5,1,5.31,11,3
lab,2021-11-20,14.7,49.8,1,6.58,11,3
mab,2021-11-20,14.2,45.5,1,6.42,11,3
pab,2021-11-20,13.7,51,1,5,11,3
qab,2021-11-20,23.8,35.7,1,9,11,3
rab,2021-11-20,12.6,52,1,2.94,11,3
sab,2021-11-20,13.7,49.6,1,3.17,11,3
tab,2021-11-20,13.8,63.5,1,5.31,11,3
uab,2021-11-20,14.8,52.4,1,10.88,11,3
wab,2021-11-20,13.7,45.6,1,6.53,11,3
xab,2021-11-20,13.9,53.5,1,7.1,11,3
cbb,2021-11-20,13.7,45.6,1,6.53,11,3
dbb,2021-11-20,14.7,49.8,1,6.58,11,3
aab,2021-11-21,15.1,68.7,1,4.04,11,4
bab,2021-11-21,14.5,67.6,1,5.9,11,4
cab,2021-11-21,13.5,78.4,1,0,11,4
dab,2021-11-21,14.8,72.1,1,8.26,11,4
eab,2021-11-21,15.4,62.4,1,1.68,11,4
gab,2021-11-21,15.3,64.8,1,3.22,11,4
hab,2021-11-21,15,66.7,1,3.06,11,4
iab,2021-11-21,14.8,72.1,1,8.26,11,4
kab,2021-11-21,14.8,68.5,1,3.39,11,4
lab,2021-11-21,15.8,64.8,1,5.02,11,4
mab,2021-11-21,16.3,62.1,1,2.79,11,4
pab,2021-11-21,14.9,67.6,1,2.5,11,4
qab,2021-11-21,14.4,72.5,1,1.69,11,4
rab,2021-11-21,15.2,64.4,1,1.21,11,4
sab,2021-11-21,15.4,62.4,1,1.68,11,4
tab,2021-11-21,14.8,68.5,1,3.39,11,4
uab,2021-11-21,13.3,71.5,1,1.26,11,4
wab,2021-11-21,15.3,64.8,1,3.22,11,4
xab,2021-11-21,14.9,67.7,1,2.58,11,4
cbb,2021-11-21,15.3,64.8,1,3.22,11,4
dbb,2021-11-21,15.8,64.8,1,5.02,11,4
aab,2021-11-22,10.3,59.8,1,6.56,11,4
bab,2021-11-22,9.4,60.1,1,4.3,11,4
cab,2021-11-22,9.8,68.6,1,0,11,4
dab,2021-11-22,9.7,63.3,1,6.09,11,4
eab,2021-11-22,9.7,55.3,1,2.78,11,4
gab,2021-11-22,8.8,63.6,1,3.31,11,4
hab,2021-11-22,10.7,58.4,1,5,11,4
iab,2021-11-22,9.7,63.3,1,6.09,11,4
kab,2021-11-22,10.5,62.5,1,4.92,11,4
lab,2021-11-22,12,54.2,1,6.07,11,4
mab,2021-11-22,10.5,55,1,3.75,11,4
pab,2021-11-22,11.3,54.5,1,2.83,11,4
qab,2021-11-22,9.7,65.3,1,2.91,11,4
rab,2021-11-22,9.9,58.4,1,1.73,11,4
sab,2021-11-22,9.7,55.3,1,2.78,11,4
tab,2021-11-22,10.5,62.5,1,4.92,11,4
uab,2021-11-22,10.5,59.2,1,5.6,11,4
wab,2021-11-22,8.8,63.6,1,3.31,11,4
xab,2021-11-22,10.3,59,1,4.69,11,4
cbb,2021-11-22,8.8,63.6,1,3.31,11,4
dbb,2021-11-22,12,54.2,1,6.07,11,4
aab,2021-11-23,8.8,55.1,1,6.06,11,4
bab,2021-11-23,8.6,51.1,1,3.28,11,4
cab,2021-11-23,8.7,56.9,1,0,11,4
dab,2021-11-23,8.6,54.9,1,5.9,11,4
eab,2021-11-23,7.4,56.2,1,1.66,11,4
gab,2021-11-23,7.4,58.1,1,2.03,11,4
hab,2021-11-23,9,54.3,1,4.75,11,4
iab,2021-11-23,8.6,54.9,1,5.9,11,4
kab,2021-11-23,8.6,57.6,1,4.07,11,4
lab,2021-11-23,7.2,57.7,1,3.74,11,4
mab,2021-11-23,8.5,52.9,1,2.08,11,4
pab,2021-11-23,8.7,51.6,1,4.04,11,4
qab,2021-11-23,7.5,59,1,3.05,11,4
rab,2021-11-23,7.5,57.3,1,0.92,11,4
sab,2021-11-23,7.4,56.2,1,1.66,11,4
tab,2021-11-23,8.6,57.6,1,4.07,11,4
uab,2021-11-23,8.9,52.5,1,6.32,11,4
wab,2021-11-23,7.4,58.1,1,2.03,11,4
xab,2021-11-23,8.8,54.7,1,4.98,11,4
cbb,2021-11-23,7.4,58.1,1,2.03,11,4
dbb,2021-11-23,7.2,57.7,1,3.74,11,4
aab,2021-11-24,10.1,49.6,1,6.47,11,4
bab,2021-11-24,10.6,44.6,1,6.86,11,4
cab,2021-11-24,10.3,54.1,1,0,11,4
dab,2021-11-24,10.8,49.6,1,11.03,11,4
eab,2021-11-24,8.8,51.7,1,1.26,11,4
gab,2021-11-24,9.3,51.9,1,4.65,11,4
hab,2021-11-24,10.1,46.3,1,5.48,11,4
iab,2021-11-24,10.8,49.6,1,11.03,11,4
kab,2021-11-24,8.7,51.7,1,4.54,11,4
lab,2021-11-24,10,53.4,1,6.83,11,4
mab,2021-11-24,10.6,46,1,4.75,11,4
