"","code","year","month","day","type","acid","phosphate","OM","Mg","K","Ca","EC","jibun","sido","sigungu","addr_1","addr_2","dong.x","li","ymd","ym","cnt","no","farm_id","name","si","dong.y","latitude","longitude","area","is_wifi","is_power","research_year","slope","maintenance","cultivar","mulching","umbrella","spring_cooler","drip_hose","frost_fan","windscreent"
"1","5011025926","2020","08","04","4",5,98,300,2.6,1.12,5.9,1.9,"제주특별자치도 제주시 조천읍 대흘리 2778-4","제주특별자치도","제주시_조천읍","제주_조천","제주특별자치도_제주시_조천읍_대흘리","조천읍","대흘리",2020-08-04,2020-01-01,1,9,"iab","봉봉팜스","제주시","조천읍",33.325153,126.7435,426000,"Y","Y",2021,0,"Y","궁천","Y","Y","N","Y","Y","N"
"2","5011025926","2020","08","04","4",5.3,238,130,5.3,1.38,9.9,2.9,"제주특별자치도 제주시 조천읍 대흘리 2778-4","제주특별자치도","제주시_조천읍","제주_조천","제주특별자치도_제주시_조천읍_대흘리","조천읍","대흘리",2020-08-04,2020-01-01,1,9,"iab","봉봉팜스","제주시","조천읍",33.325153,126.7435,426000,"Y","Y",2021,0,"Y","궁천","Y","Y","N","Y","Y","N"
"3","5011025926","2020","02","28","4",6.2,258,121,3.3,0.49,16.9,0.4,"제주특별자치도 제주시 조천읍 대흘리 2778-4","제주특별자치도","제주시_조천읍","제주_조천","제주특별자치도_제주시_조천읍_대흘리","조천읍","대흘리",2020-02-28,2020-01-01,1,9,"iab","봉봉팜스","제주시","조천읍",33.325153,126.7435,426000,"Y","Y",2021,0,"Y","궁천","Y","Y","N","Y","Y","N"
"4","5011025926","2021","03","31","4",6,268,168,0.9,0.15,6.7,0.7,"제주특별자치도 제주시 조천읍 대흘리 2778-4","제주특별자치도","제주시_조천읍","제주_조천","제주특별자치도_제주시_조천읍_대흘리","조천읍","대흘리",2021-03-31,2021-01-01,1,9,"iab","봉봉팜스","제주시","조천읍",33.325153,126.7435,426000,"Y","Y",2021,0,"Y","궁천","Y","Y","N","Y","Y","N"
"5","5011025926","2021","12","21","4",5.6,148,157,2.3,0.66,7.1,3.86,"제주특별자치도 제주시 조천읍 대흘리 2778-4","제주특별자치도","제주시_조천읍","제주_조천","제주특별자치도_제주시_조천읍_대흘리","조천읍","대흘리",2021-12-21,2021-01-01,1,9,"iab","봉봉팜스","제주시","조천읍",33.325153,126.7435,426000,"Y","Y",2021,0,"Y","궁천","Y","Y","N","Y","Y","N"
"6","5011025926","2021","12","21","4",6.3,180,134,3.7,0.49,10.7,1.39,"제주특별자치도 제주시 조천읍 대흘리 2778-4","제주특별자치도","제주시_조천읍","제주_조천","제주특별자치도_제주시_조천읍_대흘리","조천읍","대흘리",2021-12-21,2021-01-01,1,9,"iab","봉봉팜스","제주시","조천읍",33.325153,126.7435,426000,"Y","Y",2021,0,"Y","궁천","Y","Y","N","Y","Y","N"
"7","5011025926","2021","02","02","4",5.7,212,190,0.2,0.31,4.3,0.6,"제주특별자치도 제주시 조천읍 대흘리 2778-4","제주특별자치도","제주시_조천읍","제주_조천","제주특별자치도_제주시_조천읍_대흘리","조천읍","대흘리",2021-02-02,2021-01-01,1,9,"iab","봉봉팜스","제주시","조천읍",33.325153,126.7435,426000,"Y","Y",2021,0,"Y","궁천","Y","Y","N","Y","Y","N"
"8","5011025926","2021","05","21","4",6.3,853,187,5.4,4.76,19.7,1.1,"제주특별자치도 제주시 조천읍 대흘리 2778-4","제주특별자치도","제주시_조천읍","제주_조천","제주특별자치도_제주시_조천읍_대흘리","조천읍","대흘리",2021-05-21,2021-01-01,1,9,"iab","봉봉팜스","제주시","조천읍",33.325153,126.7435,426000,"Y","Y",2021,0,"Y","궁천","Y","Y","N","Y","Y","N"
"9","5013025324","2022","12","22","4",6.4,131,185,2.4,2.68,12.5,7.09,"제주특별자치도 서귀포시 남원읍 수망리 179-1","제주특별자치도","서귀포시_남원읍","서귀포_남원","제주특별자치도_서귀포시_남원읍_수망리","남원읍","수망리",2022-12-22,2022-01-01,1,14,"nab","무기명농가","서귀포시","남원읍",33.24847,126.446114,1940,"N","Y",2021,0,"Y","궁천","Y","N","N","Y","Y","N"
"10","5013025324","2022","12","22","4",5.9,208,161,3.3,0.67,11.1,0.27,"제주특별자치도 서귀포시 남원읍 수망리 242","제주특별자치도","서귀포시_남원읍","서귀포_남원","제주특별자치도_서귀포시_남원읍_수망리","남원읍","수망리",2022-12-22,2022-01-01,1,17,"qab","무기명농가","서귀포시","남원읍",33.327492,126.721321,2240,"N","Y",2021,0,"Y","궁천","Y","N","N","Y","Y","N"
"11","5013025326","2021","01","28","4",5.4,194,141,1.4,0.53,3.6,0.36,"제주특별자치도 서귀포시 남원읍 신흥리 519","제주특별자치도","서귀포시_남원읍","서귀포_남원","제주특별자치도_서귀포시_남원읍_신흥리","남원읍","신흥리",2021-01-28,2021-01-01,1,8,"hab","산들파머","서귀포시","남원읍",33.278969,126.367989,2350,"N","Y",2021,0,"Y","궁천","Y","Y","Y","Y","Y","Y"
"12","5013025326","2022","02","04","4",5.4,205,128,1.9,0.94,7.4,2.64,"제주특별자치도 서귀포시 남원읍 신흥리 519","제주특별자치도","서귀포시_남원읍","서귀포_남원","제주특별자치도_서귀포시_남원읍_신흥리","남원읍","신흥리",2022-02-04,2022-01-01,1,8,"hab","산들파머","서귀포시","남원읍",33.278969,126.367989,2350,"N","Y",2021,0,"Y","궁천","Y","Y","Y","Y","Y","Y"
"13","5013025329","2020","12","24","4",5.7,419,151,4.2,0.63,7.7,0.53,"제주특별자치도 서귀포시 남원읍 신례리 1702","제주특별자치도","서귀포시_남원읍","서귀포_남원","제주특별자치도_서귀포시_남원읍_신례리","남원읍","신례리",2020-12-24,2020-01-01,1,16,"pab","훈이농장","서귀포시","남원읍",33.242012,126.380173,3500,"Y","Y",2021,2,"Y","궁천","Y","N","Y","Y","N","N"
"14","5013025329","2022","01","27","4",5.4,129,103,1,0.41,0.5,0.78,"제주특별자치도 서귀포시 남원읍 신례리 1702","제주특별자치도","서귀포시_남원읍","서귀포_남원","제주특별자치도_서귀포시_남원읍_신례리","남원읍","신례리",2022-01-27,2022-01-01,1,16,"pab","훈이농장","서귀포시","남원읍",33.242012,126.380173,3500,"Y","Y",2021,2,"Y","궁천","Y","N","Y","Y","N","N"
